priority,kind,name,stem,role,check,occurrences,files,used_in,status,notes
B,provider,Otterdale Health,Otterdale,generated office,"Practice, clinic and health system names; web search",4,2,population/labs.json; population/offices.json,verified,Reviewed 2026-09-24
B,provider,Ottervale Medical Group,Ottervale,generated office,"Practice, clinic and health system names; web search",2,2,population/labs.json; population/offices.json,verified,Reviewed 2026-09-24
B,provider,Otterwick Neurology Associates,Otterwick,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Pecanvale Neurology,Pecanvale,account in crm/field-force.json,"Practice, clinic and health system names; web search",2,2,crm/field-force.json; test-design/scenarios/ae-intake.json,verified,Reviewed 2026-09-24
B,provider,Ploverdale Neurology Clinic,Ploverdale,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Plovergate Neurology,Plovergate,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Ploverhithe Neurological Care,Ploverhithe,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Plovervale Health,Plovervale,generated office,"Practice, clinic and health system names; web search",8,2,population/labs.json; population/offices.json,verified,Reviewed 2026-09-24
B,provider,Quillbrook Health Partners,Quillbrook,generated office,"Practice, clinic and health system names; web search",2,2,population/labs.json; population/offices.json,verified,Reviewed 2026-09-24
B,provider,Quillfield Medical Group,Quillfield,account in crm/field-force.json,"Practice, clinic and health system names; web search",1,1,crm/field-force.json,verified,Reviewed 2026-09-24
B,provider,Quillford Community Health Center,Quillford,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Quillhithe Family Health Center,Quillhithe,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Quillhurst Health,Quillhurst,generated office,"Practice, clinic and health system names; web search",4,2,population/labs.json; population/offices.json,verified,Reviewed 2026-09-24
B,provider,Quillshaw Health,Quillshaw,generated office,"Practice, clinic and health system names; web search",3,2,population/labs.json; population/offices.json,verified,Reviewed 2026-09-24
B,provider,Quillstead Neurology Associates,Quillstead,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Quillwick Neurology,Quillwick,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Riverlet Neurology,Riverlet,account in crm/field-force.json,"Practice, clinic and health system names; web search",1,1,crm/field-force.json,verified,Reviewed 2026-09-24
B,provider,Rowanbrook Neurology Associates,Rowanbrook,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Rowanford Neurology Associates,Rowanford,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Rowanhollow Neurological Care,Rowanhollow,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Rowanworth Neurology,Rowanworth,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Sablecrest Medical Group,Sablecrest,generated office,"Practice, clinic and health system names; web search",2,2,population/labs.json; population/offices.json,verified,Reviewed 2026-09-24
B,provider,Sableford Neurology,Sableford,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Sablehaven Health Partners,Sablehaven,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Sablehollow Neurology Clinic,Sablehollow,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Saltgrass Neurology,Saltgrass,account in crm/field-force.json,"Practice, clinic and health system names; web search",1,1,crm/field-force.json,verified,Reviewed 2026-09-24
B,provider,Sedgehollow Health Partners,Sedgehollow,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Sloewick Community Health Center,Sloewick,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Sloeworth Health Partners,Sloeworth,generated office,"Practice, clinic and health system names; web search",2,2,population/labs.json; population/offices.json,verified,Reviewed 2026-09-24
B,provider,Sorreldale Neurological Care,Sorreldale,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Sorrelgate Neurology Clinic,Sorrelgate,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Sorrelhaven Health,Sorrelhaven,generated office,"Practice, clinic and health system names; web search",8,2,population/labs.json; population/offices.json,verified,Reviewed 2026-09-24
B,provider,Sorrelridge Neurological Care,Sorrelridge,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Sorrelshaw Medical Group,Sorrelshaw,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Sorrelstead Neurology,Sorrelstead,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Sorrelworth Neurology Associates,Sorrelworth,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Tamarack Ferry Neurology,Tamarack Ferry,account in crm/field-force.json,"Practice, clinic and health system names; web search",1,1,crm/field-force.json,verified,Reviewed 2026-09-24
B,provider,Tansycombe Neurological Care,Tansycombe,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Tansyford Neurology Center,Tansyford,generated office,"Practice, clinic and health system names; web search",3,2,population/labs.json; population/offices.json,verified,Reviewed 2026-09-24
B,provider,Tansyhaven Neurology,Tansyhaven,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Tansyhithe Health,Tansyhithe,generated office,"Practice, clinic and health system names; web search",3,2,population/labs.json; population/offices.json,verified,Reviewed 2026-09-24
B,provider,Tansyshaw Neurology Associates,Tansyshaw,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Tansywick Neurology Associates,Tansywick,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Tarrow Neck Neurology,Tarrow Neck,account in crm/field-force.json,"Practice, clinic and health system names; web search",1,1,crm/field-force.json,verified,Reviewed 2026-09-24
B,provider,Teaselhaven Neurological Care,Teaselhaven,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Thistlecrest Neurology Clinic,Thistlecrest,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Thistlehaven Medical Group,Thistlehaven,generated office,"Practice, clinic and health system names; web search",2,2,population/labs.json; population/offices.json,verified,Reviewed 2026-09-24
B,provider,Thistlehollow Neurology Center,Thistlehollow,generated office,"Practice, clinic and health system names; web search",2,2,population/labs.json; population/offices.json,verified,Reviewed 2026-09-24
B,provider,Whinmoor Neurology Associates,Whinmoor,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Whinshaw Neurology Clinic,Whinshaw,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Wickham Bridge Community Clinic,Wickham Bridge,account in crm/field-force.json,"Practice, clinic and health system names; web search",1,1,crm/field-force.json,verified,Reviewed 2026-09-24
B,provider,Wrencrest Community Health Center,Wrencrest,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Wrenfell Family Health Center,Wrenfell,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Wrenhithe Medical Group,Wrenhithe,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Wrenhurst Neurology,Wrenhurst,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Wrenmoor Neurological Care,Wrenmoor,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Wrenshaw Neurology Clinic,Wrenshaw,generated office,"Practice, clinic and health system names; web search",1,1,population/offices.json,verified,Reviewed 2026-09-24
B,provider,Wyeholm Neurology,Wyeholm,account in crm/field-force.json,"Practice, clinic and health system names; web search",1,1,crm/field-force.json,verified,Reviewed 2026-09-24
B,provider,Yarrowdale Medical Group,Yarrowdale,generated office,"Practice, clinic and health system names; web search",2,2,population/labs.json; population/offices.json,verified,Reviewed 2026-09-24
B,provider,Yarrowford Health,Yarrowford,generated office,"Practice, clinic and health system names; web search",4,2,population/labs.json; population/offices.json,verified,Reviewed 2026-09-24
B,provider,Yarrowhollow Health,Yarrowhollow,generated office,"Practice, clinic and health system names; web search",5,2,population/labs.json; population/offices.json,verified,Reviewed 2026-09-24
B,lab,Bitterncombe Diagnostics,Bitterncombe,generated lab,Laboratory names; web search,1,1,population/labs.json,verified,Reviewed 2026-09-24
B,lab,Bitterngate Pathology Services,Bitterngate,generated lab,Laboratory names; web search,1,1,population/labs.json,verified,Reviewed 2026-09-24
B,lab,Burdockmoor Regional Laboratory,Burdockmoor,generated lab,Laboratory names; web search,1,1,population/labs.json,verified,Reviewed 2026-09-24
B,lab,Cinderfell Clinical Laboratories,Cinderfell,generated lab,Laboratory names; web search,1,1,population/labs.json,verified,Reviewed 2026-09-24
B,lab,Cinderford Regional Laboratory,Cinderford,generated lab,Laboratory names; web search,1,1,population/labs.json,verified,Reviewed 2026-09-24
B,lab,Junipervale Clinical Laboratories,Junipervale,generated lab,Laboratory names; web search,1,1,population/labs.json,verified,Reviewed 2026-09-24
B,lab,Kestrelhurst Laboratories,Kestrelhurst,generated lab,Laboratory names; web search,1,1,population/labs.json,verified,Reviewed 2026-09-24
B,lab,Lindenhaven Regional Laboratory,Lindenhaven,generated lab,Laboratory names; web search,1,1,population/labs.json,verified,Reviewed 2026-09-24
B,lab,Lindenshaw Diagnostics,Lindenshaw,generated lab,Laboratory names; web search,1,1,population/labs.json,verified,Reviewed 2026-09-24
B,lab,Nettleshaw Regional Laboratory,Nettleshaw,generated lab,Laboratory names; web search,1,1,population/labs.json,verified,Reviewed 2026-09-24
B,lab,Ploverworth Pathology Services,Ploverworth,generated lab,Laboratory names; web search,1,1,population/labs.json,verified,Reviewed 2026-09-24
B,lab,Quillridge Regional Laboratory,Quillridge,generated lab,Laboratory names; web search,1,1,population/labs.json,verified,Reviewed 2026-09-24
B,lab,Quillwick Regional Laboratory,Quillwick,generated lab,Laboratory names; web search,1,1,population/labs.json,verified,Reviewed 2026-09-24
B,lab,Rowanhurst Clinical Laboratories,Rowanhurst,generated lab,Laboratory names; web search,1,1,population/labs.json,verified,Reviewed 2026-09-24
B,lab,Rowanstead Regional Laboratory,Rowanstead,generated lab,Laboratory names; web search,1,1,population/labs.json,verified,Reviewed 2026-09-24
B,lab,Rowanworth Regional Laboratory,Rowanworth,generated lab,Laboratory names; web search,1,1,population/labs.json,verified,Reviewed 2026-09-24
B,lab,Sablevale Clinical Laboratories,Sablevale,generated lab,Laboratory names; web search,1,1,population/labs.json,verified,Reviewed 2026-09-24
B,lab,Sedgestead Pathology Services,Sedgestead,generated lab,Laboratory names; web search,1,1,population/labs.json,verified,Reviewed 2026-09-24
B,lab,Sloemoor Clinical Laboratories,Sloemoor,generated lab,Laboratory names; web search,1,1,population/labs.json,verified,Reviewed 2026-09-24
B,lab,Sorrelgate Clinical Laboratories,Sorrelgate,generated lab,Laboratory names; web search,1,1,population/labs.json,verified,Reviewed 2026-09-24
B,lab,Thistledale Clinical Laboratories,Thistledale,generated lab,Laboratory names; web search,1,1,population/labs.json,verified,Reviewed 2026-09-24
B,lab,Thistleworth Clinical Laboratories,Thistleworth,generated lab,Laboratory names; web search,1,1,population/labs.json,verified,Reviewed 2026-09-24
B,lab,Whinvale Regional Laboratory,Whinvale,generated lab,Laboratory names; web search,1,1,population/labs.json,verified,Reviewed 2026-09-24
B,lab,Wrenmere Clinical Laboratories,Wrenmere,generated lab,Laboratory names; web search,1,1,population/labs.json,verified,Reviewed 2026-09-24
B,lab,Wrenmoor Diagnostics,Wrenmoor,generated lab,Laboratory names; web search,1,1,population/labs.json,verified,Reviewed 2026-09-24
B,supply_chain,Hollins Vale Packaging,Hollins Vale,contract packager,Logistics and packaging company names; web search,2,2,README.md; channel/trading-partners.json,verified,Reviewed 2026-09-24
B,supply_chain,Pellwood Logistics,Pellwood,3pl,Logistics and packaging company names; web search,2,2,README.md; channel/trading-partners.json,verified,Reviewed 2026-09-24
